ID,EMPRESA,ANO,DISTRIBUICAO_DO_VALOR_ADICIONADO,RECEITAS,RESULTADO_FINANCEIRO,DESPESAS_RECEITAS_OPERACIONAIS,CUSTO_DOS_BENS_OU_SERVICOS_VENDIDOS,IMPOSTOS_ESTADUAIS,RECEITA_VENDAS_BENS_OU_SERVICOS
104,STATKRAFT ENERGIAS RENOVAVEIS S.A.,2017,89331.0,310808.0,-34772.0,-90827.0,-183070.0,0.0,310808.0
104,STATKRAFT ENERGIAS RENOVAVEIS S.A.,2018,171615.0,314546.0,-26206.0,-50122.0,-141655.0,0.0,314546.0
104,STATKRAFT ENERGIAS RENOVAVEIS S.A.,2019,206530.0,468204.0,-39559.0,-106550.0,-218842.0,0.0,438070.0
104,STATKRAFT ENERGIAS RENOVAVEIS S.A.,2020,230307.0,513608.0,-56157.0,-108901.0,-238307.0,885.0,477180.0
105,AMERICANAS S.A.,2009,725377.0,4353485.0,-279492.0,-686864.0,-2570035.0,96508.0,3632580.0
105,AMERICANAS S.A.,2010,727882.0,4735499.0,-360864.0,-725276.0,-2937529.0,47442.0,4073569.0
105,AMERICANAS S.A.,2011,694282.0,4696963.0,-372024.0,-823044.0,-3172480.0,43079.0,4232137.0
105,AMERICANAS S.A.,2012,654096.0,5409895.0,-420217.0,-985617.0,-3666975.0,38790.0,4812439.0
105,AMERICANAS S.A.,2013,945641.0,7012506.0,-512872.0,-1234505.0,-4581025.0,74220.0,6088500.0
105,AMERICANAS S.A.,2014,1335555.0,9098558.0,-650450.0,-1561851.0,-6035345.0,59651.0,7963835.0
105,AMERICANAS S.A.,2015,1658001.0,10467369.0,-818323.0,-1375373.0,-7226275.0,72502.0,9013779.0
105,AMERICANAS S.A.,2016,1411214.0,10471801.0,-1084278.0,-1351051.0,-6889181.0,-133567.0,8601311.0
105,AMERICANAS S.A.,2017,1562489.0,8717140.0,-868541.0,-1318044.0,-5554882.0,289104.0,7120777.0
105,AMERICANAS S.A.,2018,1286656.0,8013261.0,-566334.0,-1697738.0,-4813573.0,345750.0,6488473.0
105,AMERICANAS S.A.,2019,1494301.0,8320934.0,-566351.0,-1907973.0,-4756354.0,346796.0,6767982.0
105,AMERICANAS S.A.,2020,1731773.0,12555937.0,-430176.0,-2696518.0,-7247256.0,625134.0,10124347.0
106,ENERGISA S.A.,2009,1904756.0,2936096.0,-3935.0,-247926.0,-1349505.0,543566.0,1996572.0
106,ENERGISA S.A.,2010,1687398.0,3206217.0,-99497.0,-298739.0,-1491646.0,595020.0,2154319.0
106,ENERGISA S.A.,2011,1919032.0,3702641.0,-156153.0,-338107.0,-1665021.0,655073.0,2426613.0
106,ENERGISA S.A.,2012,2141390.0,4325103.0,-79203.0,-408112.0,-2009720.0,679045.0,2919079.0
106,ENERGISA S.A.,2013,1840527.0,4387903.0,-202043.0,-414616.0,-1992707.0,653117.0,2857772.0
106,ENERGISA S.A.,2014,5180691.0,11719485.0,-635926.0,-953326.0,-6362837.0,1942662.0,8279559.0
106,ENERGISA S.A.,2015,9056840.0,18675100.0,-1045946.0,-783235.0,-10287228.0,3286114.0,11935130.0
106,ENERGISA S.A.,2016,9189321.0,18381545.0,-772499.0,-710028.0,-9984088.0,3326926.0,11810695.0
106,ENERGISA S.A.,2017,9290675.0,20321931.0,-638003.0,-643033.0,-11749228.0,3564253.0,13637154.0
106,ENERGISA S.A.,2018,11572710.0,24719739.0,-950496.0,363003.0,-13282703.0,3999625.0,15787581.0
106,ENERGISA S.A.,2019,13199052.0,29259486.0,-1360406.0,-909350.0,-16651741.0,5023856.0,19903135.0
106,ENERGISA S.A.,2020,13246346.0,29551788.0,-655796.0,-955074.0,-16672688.0,5201319.0,20330208.0
107,NEOENERGIA S.A.,2009,6238744.0,11222188.0,52135.0,-745605.0,-4978626.0,1762461.0,8229525.0
107,NEOENERGIA S.A.,2010,6644173.0,12245813.0,78033.0,-886103.0,-5685363.0,1923354.0,8950036.0
107,NEOENERGIA S.A.,2011,7869917.0,13730314.0,-88797.0,-1132015.0,-6434863.0,2377413.0,9770849.0
107,NEOENERGIA S.A.,2012,7371908.0,15773908.0,-28716.0,-1738676.0,-8214537.0,2610050.0,11810628.0
107,NEOENERGIA S.A.,2013,6324541.0,14157782.0,-131957.0,-1387539.0,-7771134.0,2370151.0,10614298.0
107,NEOENERGIA S.A.,2014,7183516.0,16416733.0,-700361.0,-1384189.0,-9260040.0,2651979.0,12308947.0
107,NEOENERGIA S.A.,2015,13219980.0,21282551.0,-872245.0,-1584371.0,-11578755.0,3623329.0,14617679.0
107,NEOENERGIA S.A.,2016,13587114.0,21959590.0,-1296614.0,-1431566.0,-11545240.0,3990506.0,14834231.0
107,NEOENERGIA S.A.,2017,13866078.0,29352462.0,-1394264.0,-1494603.0,-16889682.0,6011707.0,20508070.0
107,NEOENERGIA S.A.,2018,20939051.0,37538187.0,-1168966.0,-1805987.0,-20877786.0,6184546.0,25953659.0
107,NEOENERGIA S.A.,2019,20890227.0,40872964.0,-1340792.0,-2100804.0,-22087328.0,6887953.0,28461313.0
107,NEOENERGIA S.A.,2020,24275000.0,44523000.0,-1030000.0,-2496000.0,-24615000.0,6637000.0,31989000.0
108,BBM LOGÍSTICA S.A.,2018,214298.0,591218.0,-16137.0,-40131.0,-439837.0,20832.0,507618.0
108,BBM LOGÍSTICA S.A.,2019,270465.0,714077.0,-21444.0,-29607.0,-553832.0,26680.0,608880.0
108,BBM LOGÍSTICA S.A.,2020,521515.0,1213422.0,-25626.0,-87945.0,-879825.0,71807.0,1002017.0
109,LG INFORMÁTICA S.A.,2020,93000.0,129236.0,-696.0,-48313.0,-47290.0,0.0,116215.0
110,GAFISA S.A.,2009,873966.0,3144880.0,-111006.0,-586804.0,-2143762.0,0.0,3022346.0
110,GAFISA S.A.,2010,1430628.0,4028759.0,-82118.0,-525307.0,-2634556.0,0.0,3720860.0
110,GAFISA S.A.,2011,90683.0,3169492.0,-159903.0,-865092.0,-2678338.0,0.0,2940506.0
110,GAFISA S.A.,2012,1101390.0,4245202.0,-206940.0,-840452.0,-2941025.0,0.0,3953282.0
110,GAFISA S.A.,2013,1828132.0,3330981.0,-162503.0,-215574.0,-1863766.0,0.0,2481211.0
110,GAFISA S.A.,2014,755273.0,2325677.0,-8918.0,-561284.0,-1609246.0,0.0,2150998.0
110,GAFISA S.A.,2015,875181.0,2485290.0,-38127.0,-510528.0,-1667505.0,0.0,2294319.0
110,GAFISA S.A.,2016,-609402.0,983664.0,-25679.0,-362747.0,-1029213.0,0.0,915698.0
110,GAFISA S.A.,2017,-452037.0,657713.0,-107268.0,-654216.0,-818751.0,0.0,608823.0
110,GAFISA S.A.,2018,-44129.0,1048145.0,-80521.0,-477228.0,-846169.0,0.0,960891.0
110,GAFISA S.A.,2019,136321.0,437289.0,-59624.0,-107535.0,-282684.0,0.0,400465.0
110,GAFISA S.A.,2020,215211.0,935013.0,-72995.0,-177618.0,-702824.0,0.0,884045.0
111,SEQUOIA LOGÍSTICA E TRANSPORTES S.A.,2019,247033.0,610923.0,-37012.0,-80177.0,-422652.0,17481.0,527263.0
111,SEQUOIA LOGÍSTICA E TRANSPORTES S.A.,2020,475505.0,1186920.0,-46986.0,-171736.0,-782679.0,60933.0,998109.0
112,BRF S.A.,2009,6322566.0,18114277.0,262489.0,-3099560.0,-12728866.0,980237.0,15905776.0
112,BRF S.A.,2010,9034325.0,25814593.0,-483126.0,-4245521.0,-16951152.0,1316505.0,22681253.0
112,BRF S.A.,2011,10518646.0,29434753.0,-479523.0,-4658146.0,-19046963.0,1389869.0,25706238.0
112,BRF S.A.,2012,10249620.0,32444864.0,-570602.0,-5064905.0,-22063563.0,1523741.0,28517383.0
112,BRF S.A.,2013,11674749.0,34289480.0,-747536.0,-5608453.0,-22953145.0,1800547.0,30521246.0
112,BRF S.A.,2014,12770461.0,32751151.0,-990698.0,-5031094.0,-20497430.0,1565961.0,29006843.0
112,BRF S.A.,2015,16286114.0,36414426.0,-1670142.0,-5860499.0,-22107692.0,1689165.0,32196601.0
112,BRF S.A.,2016,13098641.0,38371700.0,-2132655.0,-5711245.0,-26206447.0,1738181.0,33732866.0
112,BRF S.A.,2017,11866199.0,36820180.0,-2081578.0,-6167928.0,-26565346.0,1837846.0,33469352.0
112,BRF S.A.,2018,10601059.0,34250445.0,-2241474.0,-5074002.0,-25320753.0,1994580.0,30188421.0
112,BRF S.A.,2019,14143219.0,38128568.0,-1865399.0,-5124165.0,-25370042.0,2142966.0,33446980.0
112,BRF S.A.,2020,13780450.0,44209570.0,-1698995.0,-6624085.0,-29998822.0,2643201.0,39469700.0
113,LIGHT ENERGIA S.A.,2011,291880.0,378779.0,-53838.0,-44977.0,-103736.0,36.0,335778.0
113,LIGHT ENERGIA S.A.,2012,417477.0,670479.0,-85146.0,-40885.0,-126299.0,29.0,440056.0
113,LIGHT ENERGIA S.A.,2013,533274.0,660442.0,-88960.0,-26554.0,-143404.0,27.0,558660.0
113,LIGHT ENERGIA S.A.,2014,578964.0,720620.0,-105401.0,115897.0,-280303.0,9.0,601558.0
113,LIGHT ENERGIA S.A.,2015,498206.0,705321.0,-112704.0,-136799.0,-234655.0,5.0,567931.0
113,LIGHT ENERGIA S.A.,2016,228902.0,778642.0,-152557.0,-355123.0,-212001.0,1340.0,627738.0
113,LIGHT ENERGIA S.A.,2017,265904.0,1094749.0,-97030.0,-199409.0,-645325.0,5010.0,927823.0
113,LIGHT ENERGIA S.A.,2018,520993.0,1315287.0,-123157.0,-123652.0,-774904.0,394.0,1118461.0
113,LIGHT ENERGIA S.A.,2019,757199.0,1305926.0,-75342.0,-10021.0,-598306.0,1.0,1098020.0
113,LIGHT ENERGIA S.A.,2020,1489999.0,1372756.0,-341818.0,-43617.0,-113508.0,14.0,1131070.0
114,CIA PARTICIPACOES ALIANCA DA BAHIA,2009,135676.0,184545.0,28619.0,-46655.0,-147917.0,0.0,175161.0
114,CIA PARTICIPACOES ALIANCA DA BAHIA,2010,176656.0,214426.0,18398.0,-9463.0,-166940.0,0.0,198966.0
114,CIA PARTICIPACOES ALIANCA DA BAHIA,2011,150754.0,210070.0,6969.0,-28240.0,-170341.0,0.0,196142.0
114,CIA PARTICIPACOES ALIANCA DA BAHIA,2012,159432.0,222071.0,10975.0,-38087.0,-171697.0,0.0,207017.0
114,CIA PARTICIPACOES ALIANCA DA BAHIA,2013,156278.0,245774.0,15096.0,-60804.0,-192357.0,0.0,232054.0
114,CIA PARTICIPACOES ALIANCA DA BAHIA,2014,208413.0,276037.0,17206.0,-43106.0,-206938.0,0.0,258829.0
114,CIA PARTICIPACOES ALIANCA DA BAHIA,2015,239351.0,315193.0,21181.0,-54910.0,-216751.0,0.0,287208.0
114,CIA PARTICIPACOES ALIANCA DA BAHIA,2016,272609.0,344200.0,21106.0,-55954.0,-221333.0,0.0,313929.0
